                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.44529,                0.33139,                 1.0234,                0.86122,                 0.7037,                0.81751,                0.57147,                 1.2459,                0.73223,                 1.9386,               0.002674,               0.002674,               0.002674
                     76,                0.42285,                0.30226,                 1.0091,                0.93556,                0.80666,                 0.9003,                0.60533,                 1.2288,                0.63452,                 1.8918,               0.002575,               0.002575,               0.002575
                     77,                0.44983,                0.32727,                  1.014,                0.87456,                0.77469,                0.88886,                0.58928,                 1.1825,                0.69144,                 1.8721,               0.002476,               0.002476,               0.002476
                     78,                0.42038,                 0.3063,                 1.0007,                0.94956,                0.72222,                0.84677,                 0.5795,                 1.1984,                0.71948,                 1.8646,               0.002377,               0.002377,               0.002377
                     79,                0.41331,                0.30364,                0.99197,                0.89255,                0.76927,                0.86262,                0.58533,                 1.1729,                0.69833,                 1.8917,               0.002278,               0.002278,               0.002278
                     80,                0.41651,                  0.299,                0.99741,                0.92725,                0.75926,                0.87571,                0.60108,                 1.1778,                0.65143,                 1.8962,               0.002179,               0.002179,               0.002179
                     81,                0.41706,                0.30175,                0.99359,                0.97512,                0.72584,                0.86248,                0.59166,                 1.2464,                0.72461,                  1.966,                0.00208,                0.00208,                0.00208
                     82,                0.41045,                0.30423,                0.99636,                0.99308,                 0.7037,                0.84898,                0.59878,                 1.2729,                0.75248,                 1.9868,               0.001981,               0.001981,               0.001981
                     83,                0.38411,                0.27789,                0.98408,                0.99561,                 0.7037,                 0.8755,                 0.6082,                 1.2462,                0.71998,                 1.9677,               0.001882,               0.001882,               0.001882
                     84,                 0.4049,                0.29266,                 1.0044,                0.86235,                0.81481,                0.87484,                0.60509,                 1.2628,                 0.8085,                  1.959,               0.001783,               0.001783,               0.001783
                     85,                0.40982,                0.29803,                0.98939,                 0.9928,                0.68519,                 0.8428,                0.58415,                 1.2879,                0.81451,                 1.9751,               0.001684,               0.001684,               0.001684
                     86,                0.38354,                0.28009,                0.98262,                0.86782,                0.74074,                0.83799,                0.59139,                 1.2749,                0.80555,                 1.9614,               0.001585,               0.001585,               0.001585
                     87,                 0.3721,                0.27357,                 0.9696,                0.91034,                0.77778,                 0.8799,                0.61425,                 1.2829,                0.70177,                 1.9907,               0.001486,               0.001486,               0.001486
                     88,                0.37885,                0.28327,                0.98691,                0.88823,                0.73594,                0.83833,                0.59841,                 1.2373,                0.67718,                  1.966,               0.001387,               0.001387,               0.001387
                     89,                0.37002,                 0.2759,                0.98545,                0.85235,                0.74843,                0.83881,                 0.5946,                 1.2206,                0.66578,                 1.9306,               0.001288,               0.001288,               0.001288
                     90,                 0.2937,                0.22794,                0.92567,                0.87874,                 0.8053,                0.87266,                0.59525,                 1.2858,                0.70435,                 2.0198,               0.001189,               0.001189,               0.001189
                     91,                0.27211,                0.19179,                0.91149,                0.92667,                0.70211,                0.81172,                0.55728,                 1.3072,                0.75199,                 2.0566,                0.00109,                0.00109,                0.00109
                     92,                0.27152,                 0.1838,                0.91912,                0.85068,                0.73852,                0.80146,                0.55761,                  1.261,                0.73212,                 2.0126,               0.000991,               0.000991,               0.000991
                     93,                0.28038,                0.19611,                0.91234,                0.91914,                0.75926,                0.84769,                0.56669,                  1.262,                0.68378,                 2.0506,               0.000892,               0.000892,               0.000892
                     94,                0.25354,                0.18613,                0.90086,                0.87353,                0.76756,                0.87823,                0.56904,                 1.2311,                0.67763,                  2.025,               0.000793,               0.000793,               0.000793
                     95,                0.25046,                0.17322,                0.91708,                0.89068,                 0.7545,                0.88013,                0.58844,                  1.204,                0.74868,                 1.9863,               0.000694,               0.000694,               0.000694
                     96,                0.24383,                 0.1691,                0.90928,                0.91579,                 0.7037,                0.86307,                0.59629,                 1.1804,                 0.8021,                 1.9505,               0.000595,               0.000595,               0.000595
                     97,                0.25605,                0.18298,                0.90915,                0.91551,                0.72222,                0.87145,                0.60817,                 1.1665,                0.73731,                  1.928,               0.000496,               0.000496,               0.000496
                     98,                0.23884,                0.16553,                0.88106,                0.92797,                0.71584,                 0.8749,                0.61266,                 1.1628,                0.71679,                 1.9193,               0.000397,               0.000397,               0.000397
                     99,                0.23488,                0.16052,                0.88711,                0.91872,                0.72222,                 0.8702,                0.61639,                 1.1528,                0.71109,                 1.9177,               0.000298,               0.000298,               0.000298
